iter	Passed	Remaining
400	19252	28758
401	19301	28712
402	19349	28664
403	19394	28612
404	19444	28566
405	19499	28528
406	19544	28477
407	19593	28429
408	19641	28382
409	19683	28325
410	19728	28272
411	19769	28215
412	19817	28166
413	19866	28120
414	19920	28080
415	19967	28030
416	20018	27988
417	20068	27942
418	20119	27898
419	20168	27851
420	20214	27800
421	20262	27753
422	20309	27703
423	20360	27659
424	20405	27607
425	20449	27554
426	20499	27509
427	20545	27457
428	20587	27402
429	20634	27352
430	20681	27303
431	20730	27256
432	20775	27205
433	20825	27159
434	20874	27112
435	20920	27062
436	20972	27019
437	21019	26970
438	21068	26923
439	21117	26876
440	21164	26827
441	21210	26777
442	21249	26717
443	21296	26668
444	21343	26619
445	21393	26574
446	21438	26522
447	21487	26475
448	21530	26421
449	21576	26370
450	21614	26311
451	21652	26251
452	21698	26201
453	21747	26154
454	21793	26104
455	21841	26056
456	21889	26009
457	21942	25966
458	21988	25916
459	22034	25866
460	22073	25807
461	22118	25757
462	22161	25703
463	22208	25654
464	22249	25599
465	22296	25550
466	22348	25506
467	22396	25458
468	22444	25411
469	22490	25361
470	22536	25311
471	22584	25264
472	22626	25209
473	22677	25164
474	22723	25115
475	22765	25060
476	22809	25008
477	22855	24959
478	22902	24910
479	22950	24863
480	23000	24817
481	23053	24775
482	23099	24725
483	23144	24674
484	23191	24626
485	23230	24568
486	23277	24520
487	23325	24472
488	23371	24423
489	23417	24373
490	23464	24325
491	23503	24267
492	23551	24219
493	23598	24171
494	23646	24124
495	23695	24077
496	23739	24026
497	23787	23978
498	23832	23928
499	23883	23883
500	23931	23835
501	23971	23780
502	24021	23734
503	24061	23679
504	24103	23625
505	24151	23578
506	24205	23536
507	24251	23487
508	24296	23437
509	24342	23388
510	24389	23339
511	24437	23292
512	24485	23244
513	24530	23194
514	24575	23144
515	24625	23098
516	24668	23045
517	24719	23001
518	24764	22951
519	24815	22906
520	24866	22861
521	24908	22808
522	24956	22761
523	25006	22715
524	25051	22665
525	25103	22621
526	25151	22574
527	25199	22527
528	25235	22468
529	25278	22416
530	25321	22364
531	25367	22315
532	25411	22265
533	25453	22212
534	25499	22163
535	25547	22116
536	25595	22068
537	25639	22017
538	25689	21972
539	25731	21919
540	25779	21871
541	25830	21827
542	25880	21781
543	25927	21733
544	25975	21685
545	26024	21639
546	26069	21589
547	26116	21540
548	26167	21496
549	26205	21440
550	26249	21390
551	26291	21337
552	26337	21289
553	26376	21234
554	26424	21186
555	26470	21138
556	26514	21087
557	26557	21036
558	26606	20989
559	26647	20937
560	26692	20888
561	26740	20840
562	26779	20786
563	26827	20739
564	26869	20687
565	26914	20637
566	26961	20589
567	27009	20542
568	27053	20492
569	27092	20438
570	27141	20391
571	27185	20341
572	27232	20293
573	27270	20239
574	27320	20193
575	27374	20151
576	27421	20102
577	27472	20057
578	27518	20009
579	27565	19961
580	27611	19912
581	27659	19865
582	27699	19812
583	27747	19765
584	27789	19714
585	27840	19668
586	27893	19625
587	27946	19581
588	27991	19532
589	28041	19486
590	28088	19438
591	28136	19391
592	28180	19341
593	28229	19295
594	28279	19248
595	28324	19199
596	28368	19150
597	28412	19100
598	28453	19047
599	28499	18999
600	28541	18948
601	28590	18901
602	28634	18852
603	28683	18805
604	28729	18757
605	28783	18713
606	28834	18668
607	28890	18626
608	28932	18575
609	28976	18526
610	29020	18476
611	29064	18426
612	29108	18376
613	29155	18328
614	29200	18280
615	29248	18233
616	29295	18185
617	29340	18135
618	29386	18087
619	29429	18037
620	29478	17990
621	29527	17944
622	29573	17895
623	29619	17847
624	29664	17798
625	29707	17748
626	29753	17700
627	29799	17651
628	29837	17598
629	29884	17551
630	29934	17505
631	29977	17455
632	30028	17409
633	30073	17360
634	30119	17312
635	30165	17264
636	30210	17215
637	30260	17169
638	30308	17122
639	30349	17071
640	30385	17018
641	30431	16969
642	30473	16919
643	30519	16870
644	30565	16822
645	30628	16783
646	30673	16735
647	30721	16688
648	30766	16639
649	30809	16589
650	30859	16543
651	30910	16497
652	30965	16454
653	31012	16407
654	31060	16359
655	31107	16312
656	31155	16265
657	31191	16211
658	31238	16164
659	31285	16116
660	31324	16065
661	31370	16016
662	31412	15966
663	31457	15918
664	31506	15871
665	31553	15824
666	31601	15776
667	31640	15725
668	31688	15678
669	31731	15629
670	31780	15582
671	31828	15535
672	31879	15489
673	31918	15438
674	31964	15390
675	32027	15350
676	32074	15302
677	32116	15253
678	32166	15206
679	32213	15159
680	32259	15111
681	32309	15064
682	32355	15017
683	32403	14969
684	32450	14922
685	32493	14872
686	32534	14823
687	32581	14775
688	32628	14727
689	32672	14679
690	32720	14631
691	32767	14584
692	32816	14537
693	32860	14489
694	32912	14443
695	32960	14396
696	33009	14349
697	33054	14301
698	33101	14254
699	33148	14206
700	33190	14157
701	33234	14107
702	33283	14061
703	33328	14013
704	33375	13965
705	33424	13918
706	33469	13870
707	33511	13821
708	33561	13775
709	33606	13726
710	33643	13675
