iter	RMSE
193	20.90999123
194	20.89462266
195	20.89125198
196	20.86907209
197	20.81951653
198	20.79621715
199	20.7876471
200	20.75576302
201	20.70907625
202	20.6904171
203	20.67854017
204	20.64242165
205	20.61914496
206	20.60089351
207	20.57820173
208	20.55179862
209	20.53941857
210	20.51676198
211	20.5111058
212	20.48294894
213	20.46677615
214	20.44173076
215	20.43217801
216	20.41531777
217	20.40109481
218	20.38091329
219	20.36764183
220	20.3607041
221	20.33485083
222	20.31243515
223	20.30833881
224	20.29378836
225	20.26788467
226	20.25751447
227	20.24914084
228	20.24058704
229	20.23107698
230	20.22336887
231	20.20052599
232	20.18252898
233	20.16871541
234	20.14535424
235	20.13573034
236	20.13346817
237	20.10480193
238	20.08098528
239	20.0755303
240	20.06842751
241	20.05425587
242	20.0002011
243	19.98968406
244	19.98624435
245	19.98309361
246	19.97026441
247	19.96058877
248	19.96010599
249	19.93942024
250	19.92547793
251	19.91195041
252	19.89704732
253	19.88317329
254	19.88104736
255	19.86127505
256	19.85061887
257	19.83357865
258	19.82962333
259	19.80928938
260	19.7978353
261	19.78080732
262	19.75799718
263	19.74004435
264	19.71785196
265	19.70513506
266	19.68654665
267	19.67213983
268	19.65789592
269	19.64268186
270	19.63289929
271	19.63002834
272	19.62148617
273	19.60269927
274	19.59141259
275	19.57996471
276	19.55227804
277	19.54532878
278	19.52637353
279	19.49236386
280	19.48160045
281	19.47084832
282	19.44536877
283	19.43658422
284	19.43176853
285	19.4268131
286	19.41105682
287	19.3997625
288	19.3939776
289	19.37203111
290	19.35458136
291	19.34123275
292	19.33580188
293	19.33298016
294	19.31636497
295	19.29337287
296	19.28310612
297	19.27846128
298	19.27396312
299	19.24621147
300	19.23491555
301	19.23108416
302	19.22811229
303	19.22206298
304	19.20890475
305	19.20700119
306	19.17607306
307	19.17269973
308	19.16427754
309	19.14398811
310	19.13384408
311	19.11125848
312	19.10662276
313	19.1043921
314	19.09098617
315	19.08194947
316	19.06077303
317	19.05328267
318	19.05002674
319	19.03768332
320	19.02252322
321	18.99872475
322	18.99274736
323	18.98404955
324	18.98264865
325	18.97236377
326	18.96848945
327	18.95556455
328	18.9330923
329	18.9306934
330	18.91982849
331	18.91265315
332	18.90878052
333	18.89653043
334	18.88490054
335	18.87435439
336	18.87310576
337	18.85288546
338	18.84108031
339	18.83854169
340	18.8242557
341	18.79837193
342	18.78619184
343	18.77804841
344	18.76008508
345	18.75008807
346	18.73910636
347	18.73287213
348	18.72653184
349	18.72489746
350	18.72053506
351	18.69956478
352	18.68528873
353	18.66149418
354	18.63668898
355	18.62389937
356	18.61844664
357	18.60468229
358	18.59267742
359	18.57615832
360	18.55814034
361	18.54937281
362	18.54014298
363	18.52016018
364	18.51746563
365	18.51616335
366	18.50804036
367	18.49462101
368	18.48601711
369	18.48581449
370	18.47030428
371	18.45534645
372	18.43502267
373	18.42851224
374	18.41808224
375	18.40423567
376	18.39834818
377	18.37335884
378	18.36234534
379	18.36098043
380	18.34234617
381	18.32051695
382	18.30778363
383	18.29998938
384	18.28830689
385	18.28074198
386	18.26727759
387	18.25803145
388	18.25095365
389	18.24247795
390	18.24044123
391	18.23099095
392	18.22752738
393	18.21460181
394	18.21270515
395	18.20544632
396	18.20055884
397	18.18629583
398	18.17899816
399	18.1597067
400	18.14414642
401	18.14272378
402	18.13246178
403	18.12623373
404	18.11636828
405	18.11512925
406	18.11213438
407	18.10521962
408	18.09747117
409	18.09538185
410	18.08879774
411	18.08519619
412	18.08237092
413	18.0785256
414	18.06978691
415	18.06826846
416	18.06381019
417	18.0580797
418	18.04255767
419	18.03367402
420	18.02765378
421	18.00460061
422	17.99338587
423	17.9854638
424	17.98350969
425	17.97949819
426	17.9741069
427	17.96265595
428	17.94463067
429	17.93541635
430	17.92016782
431	17.91015765
432	17.90582868
433	17.89675644
434	17.89076679
435	17.88816548
436	17.88278673
437	17.8629868
438	17.85418054
439	17.84539686
440	17.83842058
441	17.83382749
442	17.82295666
443	17.81494631
444	17.80064807
445	17.79456842
446	17.79228267
447	17.78561283
448	17.77905313
449	17.77818899
450	17.77506673
451	17.7700355
452	17.76819258
453	17.76150374
454	17.75554692
455	17.74687515
456	17.74192224
457	17.74036971
458	17.73033732
459	17.72894121
460	17.72709221
461	17.7232826
462	17.71623823
463	17.71552629
464	17.7122421
465	17.70808923
466	17.70246377
467	17.67615703
468	17.6678454
469	17.65190618
470	17.64926812
471	17.64085847
472	17.63045155
473	17.62609734
474	17.62484706
475	17.62290761
476	17.6143945
477	17.60251184
478	17.59754692
479	17.5953929
480	17.59330079
481	17.58454996
482	17.5764488
483	17.56967847
484	17.56368502
485	17.5420875
486	17.53489765
487	17.52707833
488	17.5166351
489	17.51033333
490	17.50242213
491	17.49903364
492	17.49425048
493	17.48820899
494	17.48430641
495	17.47809542
496	17.47324012
497	17.46832088
498	17.46593245
499	17.46530545
500	17.45545444
501	17.44949578
502	17.44125411
503	17.44100111
504	17.44032717
505	17.4345962
506	17.42764874
507	17.42275267
508	17.41352838
509	17.41288288
510	17.40662276
511	17.39799625
512	17.38481463
513	17.37195723
514	17.36662042
515	17.3596835
516	17.35787222
517	17.35321642
518	17.35167946
519	17.3460336
520	17.34081751
521	17.34027209
522	17.33099891
523	17.32528733
524	17.3137837
525	17.30525276
526	17.30217846
527	17.29932681
528	17.296743
529	17.29601199
530	17.29469523
531	17.29282893
532	17.28518361
533	17.27364648
534	17.26687955
535	17.26264243
536	17.25959977
537	17.2546603
538	17.24593481
539	17.24215158
540	17.23441554
541	17.23319444
542	17.22861741
543	17.21363713
544	17.21176026
545	17.20797653
546	17.20207192
547	17.20063489
548	17.19607927
549	17.1958837
550	17.18355397
551	17.18304349
552	17.18030269
553	17.17529581
554	17.17186003
555	17.16347279
556	17.15991651
557	17.14966028
558	17.14108669
559	17.13690221
560	17.13578393
561	17.13461396
562	17.13436586
563	17.13190867
564	17.13112731
565	17.12898788
566	17.12571107
567	17.12439112
568	17.11692834
569	17.11664927
570	17.11360534
571	17.11194531
572	17.10655939
573	17.09945022
574	17.09200279
575	17.08477024
576	17.08111679
577	17.07369897
578	17.06364429
579	17.0552092
580	17.05311293
581	17.0447368
582	17.0401125
583	17.03332634
584	17.03219853
585	17.02783383
586	17.025546
587	17.0190412
588	17.01794792
589	17.01256413
590	17.00658567
591	16.99912892
592	16.99371372
593	16.98801679
594	16.98618833
595	16.97618722
596	16.96937912
597	16.96466984
598	16.96079115
599	16.95542713
600	16.95246388
601	16.94905309
602	16.94336971
603	16.93088304
604	16.92900295
605	16.92389444
606	16.92035107
607	16.91552118
608	16.91275603
609	16.91215925
610	16.91084679
611	16.90481067
612	16.89999429
613	16.89887948
614	16.89418036
615	16.89063753
616	16.88820203
617	16.87925772
618	16.87859475
619	16.87767271
620	16.87144592
621	16.86684174
622	16.86124019
623	16.85627595
624	16.85019014
625	16.84647045
626	16.82824497
627	16.82540474
628	16.8156325
629	16.81347985
630	16.80787585
631	16.80568559
632	16.8038008
633	16.79581776
634	16.77887234
635	16.77324233
636	16.76789219
637	16.76422526
638	16.76028629
639	16.75971277
640	16.75928504
641	16.75628183
642	16.75067729
643	16.74814781
644	16.738641
645	16.73401424
646	16.73234086
647	16.72830853
648	16.7278922
649	16.72569156
650	16.72407688
651	16.723396
652	16.72110967
653	16.71977607
654	16.71192268
655	16.71062386
656	16.71015732
657	16.71003902
658	16.70813086
659	16.69351699
660	16.69310509
661	16.68868866
662	16.68500973
663	16.68312025
664	16.68100118
665	16.67774843
666	16.66785474
667	16.66607006
668	16.66295951
669	16.65969327
670	16.65750736
671	16.64651253
672	16.64185781
673	16.62844198
674	16.61434113
675	16.61016125
676	16.6089077
677	16.60762714
678	16.60391571
679	16.59305895
680	16.58995019
681	16.58490425
682	16.58422531
683	16.58218442
684	16.57685216
685	16.57443603
686	16.57321461
687	16.56317708
688	16.56240704
689	16.5616596
690	16.5598772
691	16.55943618
692	16.5584075
693	16.55561991
694	16.54957143
695	16.54385491
696	16.54013854
697	16.53922071
698	16.52523135
699	16.52336123
700	16.52244159
701	16.52067881
702	16.51672681
703	16.50849795
704	16.50614122
705	16.49352881
706	16.48889601
707	16.48777433
708	16.48533255
709	16.48081294
710	16.48057279
711	16.47666669
712	16.4737832
713	16.46376014
714	16.45574646
715	16.45206614
716	16.45001118
717	16.4478592
718	16.4438797
719	16.43911156
720	16.43463617
721	16.43068175
722	16.42964358
723	16.42796001
724	16.41943059
725	16.41885288
726	16.41547226
727	16.41046652
728	16.40202435
729	16.400432
730	16.39424727
731	16.3865637
732	16.38432477
733	16.37903324
734	16.3758641
735	16.36315843
736	16.36090777
737	16.35959995
738	16.35499709
739	16.3547356
740	16.3522652
741	16.35063303
742	16.34800076
743	16.34691822
744	16.34251772
745	16.34002064
746	16.33224945
747	16.32164326
748	16.31733308
749	16.30624118
750	16.30359265
751	16.30194937
752	16.29853729
753	16.29194281
754	16.29042221
755	16.2882963
756	16.28450024
757	16.28053411
758	16.2782056
759	16.27598384
760	16.27005653
761	16.26815853
762	16.26779354
763	16.26270251
764	16.25427053
765	16.24890269
766	16.24864651
767	16.24800659
768	16.24562633
769	16.24341025
770	16.24172233
771	16.23743474
772	16.2343067
773	16.23368395
774	16.23095132
775	16.229998
776	16.22890229
777	16.22836795
778	16.22466539
779	16.22296211
780	16.21956532
781	16.21263392
782	16.21229299
783	16.21016749
784	16.20287821
785	16.20202427
786	16.19201061
787	16.1887941
788	16.18608973
789	16.18180295
790	16.18094113
791	16.17755891
792	16.17672154
793	16.1761884
794	16.17397267
795	16.17284776
796	16.16950593
797	16.16743701
798	16.16022328
799	16.15995598
800	16.15964989
801	16.15802706
802	16.14903783
803	16.14084166
804	16.1392465
805	16.13654707
806	16.13598928
807	16.1344674
808	16.13129268
809	16.12890673
810	16.12371601
811	16.12267055
812	16.12093282
813	16.1204021
814	16.11881317
815	16.11540157
816	16.11387922
817	16.11381966
818	16.11260177
819	16.11001482
820	16.10840368
821	16.10581018
822	16.10454307
823	16.10323807
824	16.10276344
825	16.10103547
826	16.10016761
827	16.09627415
828	16.0947432
829	16.08410202
830	16.08267085
831	16.08168769
832	16.07977571
833	16.07613495
834	16.07302157
835	16.07183342
836	16.07055927
837	16.06673656
838	16.05893926
839	16.05856651
840	16.05819483
841	16.05658849
842	16.05597053
843	16.04963974
844	16.04929869
845	16.04805228
846	16.04674989
847	16.04626964
848	16.04365866
849	16.03703628
850	16.03639179
851	16.03243498
852	16.02670649
853	16.02413324
854	16.02152639
855	16.0200645
856	16.01982555
857	16.01695678
858	16.00217529
859	16.00161413
860	15.99990972
861	15.99926018
862	15.99802362
863	15.99480918
864	15.98926886
865	15.98359188
866	15.97587216
867	15.97035395
868	15.96530256
869	15.96213398
870	15.95905981
871	15.95280094
872	15.95151138
873	15.95048378
874	15.9489994
875	15.94823882
876	15.94606118
877	15.94485257
878	15.94377971
879	15.9395485
880	15.93891693
881	15.93325043
882	15.92619746
883	15.92015751
884	15.91951259
885	15.9030783
886	15.90142858
887	15.90036727
888	15.8985987
889	15.8967911
890	15.8952087
891	15.88962459
892	15.88383754
893	15.88128073
894	15.87450099
895	15.87236963
896	15.86944622
897	15.86782305
898	15.8665933
899	15.86475285
900	15.86417853
901	15.86291475
902	15.85994355
903	15.85900433
904	15.85666486
905	15.85502517
906	15.85430485
907	15.85307336
908	15.85015786
909	15.84344349
910	15.83003629
911	15.82961669
912	15.82298115
913	15.81851275
914	15.81370613
915	15.81338528
916	15.80929442
917	15.80553317
918	15.80049274
919	15.79931387
920	15.797491
921	15.79356329
922	15.79291107
923	15.79158506
924	15.78857819
925	15.78471356
926	15.78429125
927	15.78066195
928	15.77577762
929	15.77158463
930	15.76503857
931	15.76332031
932	15.76165163
933	15.76085452
934	15.75862013
935	15.75659426
936	15.75476078
937	15.74683738
938	15.74660506
939	15.74483492
940	15.74356798
941	15.74301516
942	15.73865538
943	15.73251743
944	15.73169251
945	15.73093248
946	15.73041519
947	15.72587978
948	15.72452677
949	15.72304522
950	15.71986265
951	15.71806412
952	15.71509367
953	15.71074709
954	15.70867138
955	15.70600692
956	15.70518409
957	15.70370797
958	15.69978531
959	15.69949382
960	15.69593102
961	15.68738123
962	15.6795592
963	15.67878583
964	15.67807753
965	15.67629564
966	15.67278232
967	15.67090317
968	15.66603038
969	15.66482192
970	15.66076497
971	15.6599457
972	15.65683274
973	15.65274008
974	15.64865478
975	15.64472297
976	15.63946031
977	15.63567307
978	15.63532802
979	15.63461375
980	15.63053795
981	15.62623726
982	15.62391851
983	15.62209158
984	15.61944603
985	15.61735256
986	15.61621413
987	15.61342396
988	15.6127558
989	15.61190382
990	15.60705385
991	15.59967061
992	15.59918949
993	15.59551754
994	15.59386184
995	15.59377422
996	15.59299102
997	15.58804265
998	15.58751667
999	15.58426976
